Pack Name,Release Date,OCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
The Hidden Arts,2022-01-19,106630,5331.5,"Yellow Dragon Ninja, Black Dragon Ninja, White Dragon Ninja, Red Dragon Ninja, Blue Dragon Ninja, Ninja Grandmaster Hanzo, Hidden Village of Ninjitsu Arts, Ninjitsu Art of Mirage-Transformation",,
Cross-Dimensional Contracts,2022-01-19,119808,5990.4,"D/D/D Gust High King Alexander, D/D/D Wave Oblivion King Caesar Ragnarok, D/D/D Cursed King Siegfried, D/D/D Duo-Dawn King Kali Yuga, D/D/D Flame High King Genghis",,
Roid Nexus,2022-01-19,133899,3347.475,"Super Vehicroid - Mobile Base, Super Vehicroid - Stealth Union, Dragonroid, Limiter Removal, Super Vehicroid Jumbo Drill, Drillroid, Mixeroid, Future Fusion, Machine Duplication, Megaroid City, Vehicroid Connection Zone, Emergeroid Call",,
Guardian of Kings,2022-01-19,134168,3530.7368421052633,"Gravekeeper's Oracle, Gravekeeper's Supernaturalist, Necrovalley, Gravekeeper's Visionary, Gravekeeper's Shaman, Gravekeeper's Nobleman, Gravekeeper's Recruiter, Hidden Temples of Necrovalley, Necrovalley Throne, Royal Tribute, Temple of the Kings, Imperial Tombs of Necrovalley",,
"Cell ""A"" Corruption",2022-01-19,137206,3518.102564102564,"Cosmic Fortress Gol'gar, Cosmic Slicer Zer'oll, Alien Shocktrooper M-Frame, Cosmic Horror Gangi'el, Alien Overlord, Alien Stealthbuster, Alien Ammonite, ""A"" Cell Recombination Device, Planet Pollutant Virus",,
Glory on Wings,2022-01-19,140682,3907.8333333333335,"Cyber Slash Harpie Lady, Harpie Channeler, Harpie's Feather Duster, Harpie's Feather Storm, Harpie's Pet Dragon - Fearsome Fire Blast, Harpie Dancer, Harpie Harpist, Harpie Perfumer, Harpie's Pet Phantasmal Dragon, Harpie Conductor, Hysteric Sign, Hysteric Party, Icarus Attack",,
Synchro Mode Change,2022-01-19,143611,4223.85294117647,"T.G. Halberd Cannon/Assault Mode, Stardust Dragon/Assault Mode, Supreme Arcanite Magician, Stardust Dragon, T.G. Halberd Cannon, Colossal Fighter/Assault Mode, Dragon Knight Draco-Equiste, Red Dragon Archfiend/Assault Mode, Ultimate Axon Kicker, Arcanite Magician/Assault Mode, Red Dragon Archfiend, Arcanite Magician",,
Devastation Regenerated,2022-01-19,144580,4663.870967741936,"Atomic Scrap Dragon, Scrap Dragon, Scrap Wyvern, Scrap Twin Dragon, Scrap Chimera, Scrap Raptor, Cross Breed, Scrapstorm, Scrapyard",,
Rapid Aircraft Advancement,2022-01-19,146170,6355.217391304348,"Machina Ruinforce, Machina Citadel, Machina Fortress, Mecha Phantom Beast Dracossack, Mecha Phantom Beast Auroradon, Machina Metalcruncher, Phantom Fortress Enterblathnir, Machina Air Raider, Machina Unclaspare, Mecha Phantom Beast O-Lion, Machina Redeployment, Unauthorized Reactivation, Aerial Recharge",,
Fabled Gods,2022-01-19,146928,4591.5,"Fabled Leviathan, Fabled Valkyrus, The Fabled Unicore, Fabled Andwraith, Fabled Soulkius, Fabled Ragin, Fabled Grimro, The Fabled Cerburrel, Obedience Schooled",,
Elemental Exchanges,2022-01-19,148430,3710.75,"Locomotion R-Genex, Thermal Genex, Vindikite R-Genex, Genex Ally Triforce, Genex Solar, Windmill Genex, Genex Ally Triarm, Hydro Genex, Genex Ally Birdman, Genex Undine",,
Justice Before Attribute,2022-01-19,148839,3720.975,"Ally of Justice Decisive Armor, Ally of Justice Field Marshal, Ancient Flamvell Deity, Rekindling, Ally of Justice Light Gazer, Ally of Justice Catastor, Flamvell Firedog, Neo Flamvell Lady, Ally of Justice Cycle Reader, Ally of Justice Cyclone Creator, Neo Flamvell Hedgehog, Neo Flamvell Origin",,
Astral Trinity of Gods,2022-01-19,148925,4653.90625,"Loki, Lord of the Aesir, Odin, Father of the Aesir, Thor, Lord of the Aesir, Vanadis of the Nordic Ascendant, Valkyrie of the Nordic Ascendant, Gullveig of the Nordic Ascendant, Gleipnir, the Fetters of Fenrir, The Golden Apples",,
Transforming Tech,2022-01-19,150499,3762.475,"Life Stream Dragon, Power Tool Dragon, Power Tool Mecha Dragon, Morphtronic Videon, Morphtronic Boarden, Morphtronic Celfon, Morphtronic Smartfon, Morphtronic Map",,
Combatants of Flame,2022-01-19,151088,4721.5,"Lavalval Exlord, Lavalval Salamander, Lavalval Dragun, Rekindling, Laval the Greater, Laval Archer, Laval Lakeside Lady, Laval Forest Sprite, Laval Volcano Handmaiden, Birth of the Prominence Flame, Molten Conduction Field",,
The First Heroes,2022-01-19,152593,3814.825,"Elemental HERO Neos, Elemental HERO Sunrise, Elemental HERO Solid Soldier, Elemental HERO Stratos, A Hero Lives, Elemental HERO Absolute Zero, Elemental HERO Escuridao, Elemental HERO Great Tornado, Elemental HERO Nova Master, Elemental HERO The Shining, Elemental HERO Gaia, Elemental HERO Grandmerge, Elemental HERO Liquid Soldier, Elemental HERO Shadow Mist, E - Emergency Call",,
Mastery of the Grimoire,2022-01-19,157345,5075.645161290323,"Hierophant of Prophecy, Spellbook Magician of Prophecy, Crowley, the First Propheseer, Spellbook of Secrets, High Priestess of Prophecy, Empress of Prophecy, Temperance of Prophecy, Spellbook of Fate, Spellbook of Knowledge, Spellbook of Life, Spellbook of the Master",,
Curse of the Serpent,2022-01-19,160995,4024.875,"Vennominaga the Deity of Poisonous Snakes, Vennominon the King of Poisonous Snakes, Reptilianne Echidna, Snake Rain, Evil Dragon Ananta, Reptilianne Vaskii, Reptilianne Hydra, Ipiria, Reptilianne Lamia, Venom Swamp, Offering to the Snake Deity",,
The Great Olds,2022-01-19,161228,4742.0,"Obelisk the Tormentor, Slifer the Sky Dragon, The Winged Dragon of Ra, The Winged Dragon of Ra - Immortal Phoenix, The Winged Dragon of Ra - Sphere Mode, The Breaking Ruin God, The True Sun God, The Revived Sky God",,
Neo Space Comrades,2022-01-19,162870,4071.75,"Elemental HERO Divine Neos, Elemental HERO Honest Neos, Elemental HERO Neos, Neos Fusion, Elemental HERO Cosmo Neos, Elemental HERO Nebula Neos, Elemental HERO Brave Neos, Elemental HERO Neos Alius, Neo Space Connector, Generation Next, Miracle Contact, NEXT",,
Gargantuan Gears,2022-01-19,163086,4530.166666666667,"Chaos Ancient Gear Giant, Ultimate Ancient Gear Golem, Ancient Gear Megaton Golem, Ancient Gear Reactor Dragon, Geartown, Ancient Gear Gadjiltron Dragon, Ancient Gear Golem - Ultimate Pound, Ancient Gear Hydra, Ancient Gear Gadget, Ancient Gear Wyvern, Ancient Gear Ballista, Ancient Gear Catapult, Ancient Gear Fusion",,
Iron Core Synthetics,2022-01-19,163113,4077.825,"Koa'ki Meiru Maximus, Koa'ki Meiru Rooklord, Koa'ki Meiru Urnight, Diamond Core of Koa'ki Meiru, Koa'ki Meiru Bergzak, Koa'ki Meiru Drago, Koa'ki Meiru Guardian, Koa'ki Meiru Overload, Koa'ki Meiru Sandman, Koa'ki Meiru Supplier, Koa'ki Meiru Wall, Koa'ki Meiru Doom, Nega-Ton Corepanel",,
Beasts of the Inferno,2022-01-19,163660,4196.410256410257,"Volcanic Doomfire, Hazy Flame Basiltrice, Star Mine, Blaze Accelerator Reload, Lava Golem, Hazy Flame Sphynx, Vulcan the Divine, Volcanic Rocket, Firebrand Hymnist, Gren Maju Da Eiza, Volcanic Counter, Volcanic Shell",,
