Pack Name,Release Date,Total TCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Roid Nexus,2022-01-19,139542,3488.55,"Super Vehicroid - Mobile Base, Super Vehicroid - Stealth Union, Dragonroid, Limiter Removal, Super Vehicroid Jumbo Drill, Drillroid, Mixeroid, Future Fusion, Machine Duplication, Megaroid City, Vehicroid Connection Zone, Emergeroid Call",Limiter Removal,Dragonroid
"Cell ""A"" Corruption",2022-01-19,140855,3611.67,"Cosmic Fortress Gol'gar, Cosmic Slicer Zer'oll, Alien Shocktrooper M-Frame, Cosmic Horror Gangi'el, Alien Overlord, Alien Stealthbuster, Alien Ammonite, ""A"" Cell Recombination Device, Planet Pollutant Virus",Orbital Bombardment,Alien Stealthbuster
Transforming Tech,2022-01-19,57455,3830.33,"Morphtronic Videon, Morphtronic Boarden, Morphtronic Celfon, Morphtronic Smartfon, Morphtronic Map",Morphtronic Accelerator,Morphtronic Smartfon
Guardian of Kings,2022-01-19,149321,3929.5,"Gravekeeper's Oracle, Gravekeeper's Supernaturalist, Necrovalley, Gravekeeper's Visionary, Gravekeeper's Shaman, Gravekeeper's Nobleman, Gravekeeper's Recruiter, Hidden Temples of Necrovalley, Necrovalley Throne, Royal Tribute, Temple of the Kings, Imperial Tombs of Necrovalley",Rite of Spirit,Zolga the Prophet
The First Heroes,2022-01-19,159234,3980.85,"Elemental HERO Neos, Elemental HERO Sunrise, Elemental HERO Solid Soldier, Elemental HERO Stratos, A Hero Lives, Elemental HERO Absolute Zero, Elemental HERO Escuridao, Elemental HERO Great Tornado, Elemental HERO Nova Master, Elemental HERO The Shining, Elemental HERO Gaia, Elemental HERO Grandmerge, Elemental HERO Liquid Soldier, Elemental HERO Shadow Mist, E - Emergency Call",Elemental HERO Burstinatrix,Magistery Alchemist
Iron Core Synthetics,2022-01-19,164053,4101.32,"Koa'ki Meiru Maximus, Koa'ki Meiru Rooklord, Koa'ki Meiru Urnight, Diamond Core of Koa'ki Meiru, Koa'ki Meiru Bergzak, Koa'ki Meiru Drago, Koa'ki Meiru Guardian, Koa'ki Meiru Overload, Koa'ki Meiru Sandman, Koa'ki Meiru Supplier, Koa'ki Meiru Wall, Koa'ki Meiru Doom, Nega-Ton Corepanel",Iron Core of Koa'ki Meiru,Koa'ki Meiru Supplier
Curse of the Serpent,2022-01-19,164649,4116.23,"Vennominaga the Deity of Poisonous Snakes, Vennominon the King of Poisonous Snakes, Reptilianne Echidna, Snake Rain, Evil Dragon Ananta, Reptilianne Vaskii, Reptilianne Hydra, Ipiria, Reptilianne Lamia, Venom Swamp, Offering to the Snake Deity",Venom Burn,Yamorimori
Guardians of the Sacred Sky,2022-01-19,182770,4153.86,"Master Hyperion, Apollousa, Bow of the Goddess, Apollousa, Bow of the Goddess, Celestial Knightlord Parshath, Ultimate Slayer, Solemn Judgment, Solemn Strike, Sacred Arch-Airknight Parshath, The Agent of Entropy - Uranus, Power Angel Valkyria, The Agent of Mystery - Earth, Cards from the Sky, Divine Punishment, Rebirth of Parshath, Solemn Warning, Titanocider",Solemn Judgment,Ultimate Slayer
Neo Space Comrades,2022-01-19,167139,4178.48,"Elemental HERO Divine Neos, Elemental HERO Honest Neos, Elemental HERO Neos, Neos Fusion, Elemental HERO Cosmo Neos, Elemental HERO Nebula Neos, Elemental HERO Brave Neos, Elemental HERO Neos Alius, Neo Space Connector, Generation Next, Miracle Contact, NEXT",Neo Space,Generation Next
Justice Before Attribute,2022-01-19,167182,4179.55,"Ally of Justice Decisive Armor, Ally of Justice Field Marshal, Ancient Flamvell Deity, Rekindling, Ally of Justice Light Gazer, Ally of Justice Catastor, Flamvell Firedog, Neo Flamvell Lady, Ally of Justice Cycle Reader, Ally of Justice Cyclone Creator, Neo Flamvell Hedgehog, Neo Flamvell Origin",Ally of Justice Catastor,Neo Flamvell Lady
Elemental Exchanges,2022-01-19,168783,4219.57,"Locomotion R-Genex, Thermal Genex, Vindikite R-Genex, Genex Ally Triforce, Genex Solar, Windmill Genex, Genex Ally Triarm, Hydro Genex, Genex Ally Birdman, Genex Undine",Genex Power Planner,Genex Ally Solid
Glory on Wings,2022-01-19,154527,4292.42,"Cyber Slash Harpie Lady, Harpie Channeler, Harpie's Feather Duster, Harpie's Feather Storm, Harpie's Pet Dragon - Fearsome Fire Blast, Harpie Dancer, Harpie Harpist, Harpie Perfumer, Harpie's Pet Phantasmal Dragon, Harpie Conductor, Hysteric Sign, Hysteric Party, Icarus Attack",Elegant Egotist,Harpie's Pet Dragon - Fearsome Fire Blast
Beasts of the Inferno,2022-01-19,167459,4293.82,"Volcanic Doomfire, Hazy Flame Basiltrice, Star Mine, Blaze Accelerator Reload, Lava Golem, Hazy Flame Sphynx, Vulcan the Divine, Volcanic Rocket, Firebrand Hymnist, Gren Maju Da Eiza, Volcanic Counter, Volcanic Shell",Lava Golem,Star Mine
Great Shogun's Rule,2022-01-19,171875,4296.88,"Legendary Six Samurai - Shi En, Shadow of the Six Samurai - Shien, Battle Shogun of the Six Samurai, Gateway of the Six, Grandmaster of the Six Samurai, Secret Six Samurai - Rihan, Legendary Six Samurai - Kizan, Secret Six Samurai - Fuma, Shien's Smoke Signal, Six Samurai United, Musakani Magatama",Grandmaster of the Six Samurai,Battle Shogun of the Six Samurai
